,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823199059,88.0,26.0,630,True,1st 19:32:00 : made by Colby Garland(San Jose St.) 2-0,period_1 player_785993291 team_630,False,785993291,1,19:32:00,Colby Garland,San Jose St.,2-0,made,88.0,26.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
1,2823199060,18.0,35.0,732,False,1st 19:12:00 : missed by Seydou Traore(Utah) 2-0,period_1 player_785993282 team_732,False,785993282,1,19:12:00,Seydou Traore,Utah,2-0,missed,82.0,15.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
2,2823199062,93.0,54.0,630,True,1st 18:48:00 : made by JaVaughn Hannah(San Jose St.) 4-0,period_1 player_785993289 team_630,False,785993289,1,18:48:00,JaVaughn Hannah,San Jose St.,4-0,made,93.0,54.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
3,2823199063,19.0,39.0,732,False,1st 18:37:00 : missed by Terrence Brown(Utah) 4-0,period_1 player_785993278 team_732,False,785993278,1,18:37:00,Terrence Brown,Utah,4-0,missed,81.0,11.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
4,2823199065,23.0,10.0,732,False,1st 18:28:00 : missed by Don McHenry(Utah) 4-0,period_1 player_785993281 team_732,False,785993281,1,18:28:00,Don McHenry,Utah,4-0,missed,77.0,40.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
5,2823199067,89.0,55.0,630,False,1st 18:04:00 : missed by Adrian Myers(San Jose St.) 4-0,period_1 player_785993292 team_630,False,785993292,1,18:04:00,Adrian Myers,San Jose St.,4-0,missed,89.0,55.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
6,2823199069,6.0,49.0,732,True,1st 17:59:00 : made by Seydou Traore(Utah) 4-2,period_1 player_785993282 team_732,False,785993282,1,17:59:00,Seydou Traore,Utah,4-2,made,94.0,1.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
7,2823199074,7.0,55.0,732,False,1st 17:24:00 : missed by Don McHenry(Utah) 4-2,period_1 player_785993281 team_732,False,785993281,1,17:24:00,Don McHenry,Utah,4-2,missed,93.0,-5.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
8,2823199076,6.0,50.0,732,True,1st 17:17:00 : made by Don McHenry(Utah) 4-4,period_1 player_785993281 team_732,False,785993281,1,17:17:00,Don McHenry,Utah,4-4,made,94.0,0.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
9,2823199077,75.0,83.0,630,True,1st 17:12:00 : made by Sadraque NgaNga(San Jose St.) 7-4,period_1 player_785993290 team_630,False,785993290,1,17:12:00,Sadraque NgaNga,San Jose St.,7-4,made,75.0,83.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
10,2823199083,8.0,58.0,732,True,1st 16:48:00 : made by Don McHenry(Utah) 7-6,period_1 player_785993281 team_732,False,785993281,1,16:48:00,Don McHenry,Utah,7-6,made,92.0,-8.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
11,2823199091,6.0,51.0,732,True,1st 16:33:00 : made by Keanu Dawes(Utah) 7-9,period_1 player_785993280 team_732,False,785993280,1,16:33:00,Keanu Dawes,Utah,7-9,made,94.0,-1.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
12,2823199092,93.0,45.0,630,True,1st 16:15:00 : made by Colby Garland(San Jose St.) 9-9,period_1 player_785993291 team_630,False,785993291,1,16:15:00,Colby Garland,San Jose St.,9-9,made,93.0,45.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
13,2823199093,6.0,54.0,732,False,1st 15:58:00 : missed by Terrence Brown(Utah) 9-9,period_1 player_785993278 team_732,False,785993278,1,15:58:00,Terrence Brown,Utah,9-9,missed,94.0,-4.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
14,2823199095,77.0,85.0,630,False,1st 15:50:00 : missed by Adrian Myers(San Jose St.) 9-9,period_1 player_785993292 team_630,False,785993292,1,15:50:00,Adrian Myers,San Jose St.,9-9,missed,77.0,85.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
15,2823199097,6.0,46.0,732,False,1st 15:43:00 : missed by Seydou Traore(Utah) 9-9,period_1 player_785993282 team_732,False,785993282,1,15:43:00,Seydou Traore,Utah,9-9,missed,94.0,4.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
16,2823199113,92.0,44.0,630,False,1st 15:15:00 : missed by Ben Roseborough(San Jose St.) 9-10,period_1 player_785993294 team_630,False,785993294,1,15:15:00,Ben Roseborough,San Jose St.,9-10,missed,92.0,44.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
17,2823199116,94.0,3.0,630,False,1st 15:12:00 : missed by Adrian Myers(San Jose St.) 9-10,period_1 player_785993292 team_630,False,785993292,1,15:12:00,Adrian Myers,San Jose St.,9-10,missed,94.0,3.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
18,2823199118,94.0,50.0,630,False,1st 15:06:00 : missed by Yaphet Moundi(San Jose St.) 9-10,period_1 player_785993296 team_630,False,785993296,1,15:06:00,Yaphet Moundi,San Jose St.,9-10,missed,94.0,50.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
19,2823199120,6.0,4.0,732,False,1st 14:43:00 : missed by Jacob Patrick(Utah) 9-10,period_1 player_785993284 team_732,False,785993284,1,14:43:00,Jacob Patrick,Utah,9-10,missed,94.0,46.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
20,2823199122,71.0,72.0,630,True,1st 14:26:00 : made by Jermaine Washington(San Jose St.) 12-10,period_1 player_785993295 team_630,False,785993295,1,14:26:00,Jermaine Washington,San Jose St.,12-10,made,71.0,72.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
21,2823199123,6.0,97.0,732,True,1st 14:07:00 : made by Jacob Patrick(Utah) 12-13,period_1 player_785993284 team_732,False,785993284,1,14:07:00,Jacob Patrick,Utah,12-13,made,94.0,-47.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
22,2823199125,72.0,77.0,630,True,1st 13:51:00 : made by Ben Roseborough(San Jose St.) 15-13,period_1 player_785993294 team_630,False,785993294,1,13:51:00,Ben Roseborough,San Jose St.,15-13,made,72.0,77.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
23,2823199126,5.0,50.0,732,True,1st 13:30:00 : made by Terrence Brown(Utah) 15-15,period_1 player_785993278 team_732,False,785993278,1,13:30:00,Terrence Brown,Utah,15-15,made,95.0,0.0,Utah,San Jose St.,2026,SanJoseStUtah11032025,Home,Q4
