,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823318103,68.0,32.0,37,False,3rd 04:47:00 : missed by Tahaad Pettiford(Auburn) 81-81,period_3 player_786004328 team_37,False,786004328,3,04:47:00,Tahaad Pettiford,Auburn,81-81,missed,68.0,32.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
1,2823318105,27.0,10.0,61,False,3rd 04:35:00 : missed by Arterio Morris(Bethune-Cookman) 81-81,period_3 player_786004338 team_61,False,786004338,3,04:35:00,Arterio Morris,Bethune-Cookman,81-81,missed,73.0,40.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
2,2823318107,6.0,50.0,61,True,3rd 04:25:00 : made by Ariel Bland(Bethune-Cookman) 83-81,period_3 player_786004336 team_61,False,786004336,3,04:25:00,Ariel Bland,Bethune-Cookman,83-81,made,94.0,0.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
3,2823318108,90.0,52.0,37,True,3rd 04:09:00 : made by Keyshawn Hall(Auburn) 83-83,period_3 player_786004326 team_37,False,786004326,3,04:09:00,Keyshawn Hall,Auburn,83-83,made,90.0,52.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
4,2823318114,11.0,41.0,61,True,3rd 03:46:00 : made by Daniel Rouzan(Bethune-Cookman) 85-84,period_3 player_786004340 team_61,False,786004340,3,03:46:00,Daniel Rouzan,Bethune-Cookman,85-84,made,89.0,9.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
5,2823318121,90.0,47.0,37,True,3rd 03:04:00 : made by Kevin Overton(Auburn) 85-88,period_3 player_786004327 team_37,False,786004327,3,03:04:00,Kevin Overton,Auburn,85-88,made,90.0,47.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
6,2823318132,92.0,52.0,37,False,3rd 01:34:00 : missed by Keyshawn Hall(Auburn) 85-90,period_3 player_786004326 team_37,False,786004326,3,01:34:00,Keyshawn Hall,Auburn,85-90,missed,92.0,52.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
7,2823318134,34.0,41.0,61,True,3rd 01:22:00 : made by Jordan Johnson(Bethune-Cookman) 88-90,period_3 player_786004343 team_61,False,786004343,3,01:22:00,Jordan Johnson,Bethune-Cookman,88-90,made,66.0,9.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
8,2823318136,92.0,53.0,37,True,3rd 01:04:00 : made by Tahaad Pettiford(Auburn) 88-92,period_3 player_786004328 team_37,False,786004328,3,01:04:00,Tahaad Pettiford,Auburn,88-92,made,92.0,53.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
9,2823318140,18.0,21.0,61,False,3rd 00:50:50 : missed by Jordan Johnson(Bethune-Cookman) 88-93,period_3 player_786004343 team_61,False,786004343,3,00:50:50,Jordan Johnson,Bethune-Cookman,88-93,missed,82.0,29.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
10,2823318150,92.0,45.0,37,False,3rd 00:19:50 : missed by Elyjah Freeman(Auburn) 90-93,period_3 player_786004329 team_37,False,786004329,3,00:19:50,Elyjah Freeman,Auburn,90-93,missed,92.0,45.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
11,2823318152,94.0,50.0,37,True,3rd 00:14:40 : made by Elyjah Freeman(Auburn) 90-95,period_3 player_786004329 team_37,False,786004329,3,00:14:40,Elyjah Freeman,Auburn,90-95,made,94.0,50.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
12,2823318153,22.0,11.0,61,False,3rd 00:07:20 : missed by Quentin Heady(Bethune-Cookman) 90-95,period_3 player_786004345 team_61,False,786004345,3,00:07:20,Quentin Heady,Bethune-Cookman,90-95,missed,78.0,39.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
13,2823318157,7.0,49.0,61,False,3rd 04:25:00 : missed by Rickey Mitchell Jr.(Bethune-Cookman) 81-81,period_3 player_786004344 team_61,False,786004344,3,04:25:00,Rickey Mitchell Jr.,Bethune-Cookman,81-81,missed,93.0,1.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
14,2823318164,86.0,49.0,61,True,1st 19:40:00 : made by Daniel Rouzan(Bethune-Cookman) 2-0,period_1 player_786004340 team_61,False,786004340,1,19:40:00,Daniel Rouzan,Bethune-Cookman,2-0,made,86.0,49.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
15,2823318169,89.0,44.0,61,True,1st 18:49:00 : made by Daniel Rouzan(Bethune-Cookman) 4-0,period_1 player_786004340 team_61,False,786004340,1,18:49:00,Daniel Rouzan,Bethune-Cookman,4-0,made,89.0,44.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
16,2823318170,10.0,4.0,37,False,1st 18:40:00 : missed by Keyshawn Hall(Auburn) 4-0,period_1 player_786004326 team_37,False,786004326,1,18:40:00,Keyshawn Hall,Auburn,4-0,missed,90.0,46.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
17,2823318172,8.0,47.0,37,True,1st 18:34:00 : made by Keyshawn Hall(Auburn) 4-2,period_1 player_786004326 team_37,False,786004326,1,18:34:00,Keyshawn Hall,Auburn,4-2,made,92.0,3.0,Auburn,Bethune-Cookman,2026,Bethune-CookmanAuburn11032025,Home,Q4
