,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823140905,34.0,17.0,655,True,1st 19:39:00 : made by Peter Hemschemeier(Southeastern La.) 3-0,period_1 player_785989253 team_655,False,785989253,1,19:39:00,Peter Hemschemeier,Southeastern La.,3-0,made,66.0,33.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
1,2823140907,90.0,46.0,433,False,1st 19:16:00 : missed by Malik Dia(Ole Miss) 3-0,period_1 player_785989226 team_433,False,785989226,1,19:16:00,Malik Dia,Ole Miss,3-0,missed,90.0,46.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
2,2823140909,12.0,56.0,655,False,1st 18:59:00 : missed by Jeremy Elyzee(Southeastern La.) 3-0,period_1 player_785989249 team_655,False,785989249,1,18:59:00,Jeremy Elyzee,Southeastern La.,3-0,missed,88.0,-6.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
3,2823140911,70.0,68.0,433,False,1st 18:41:00 : missed by Ilias Kamardine(Ole Miss) 3-0,period_1 player_785989238 team_433,False,785989238,1,18:41:00,Ilias Kamardine,Ole Miss,3-0,missed,70.0,68.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
4,2823140913,9.0,35.0,655,False,1st 18:21:00 : missed by Jaiden Lawrence(Southeastern La.) 3-0,period_1 player_785989251 team_655,False,785989251,1,18:21:00,Jaiden Lawrence,Southeastern La.,3-0,missed,91.0,15.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
5,2823140915,91.0,4.0,433,False,1st 18:13:00 : missed by Ilias Kamardine(Ole Miss) 3-0,period_1 player_785989238 team_433,False,785989238,1,18:13:00,Ilias Kamardine,Ole Miss,3-0,missed,91.0,4.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
6,2823140917,94.0,81.0,433,False,1st 18:03:00 : missed by AJ Storr(Ole Miss) 3-0,period_1 player_785989227 team_433,False,785989227,1,18:03:00,AJ Storr,Ole Miss,3-0,missed,94.0,81.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
7,2823140921,7.0,48.0,655,True,1st 17:51:00 : made by Ethan Pickett(Southeastern La.) 5-0,period_1 player_785989248 team_655,False,785989248,1,17:51:00,Ethan Pickett,Southeastern La.,5-0,made,93.0,2.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
8,2823140923,94.0,51.0,433,True,1st 17:24:00 : made by James Scott(Ole Miss) 5-2,period_1 player_785989231 team_433,False,785989231,1,17:24:00,James Scott,Ole Miss,5-2,made,94.0,51.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
9,2823140924,27.0,88.0,655,False,1st 17:09:00 : missed by Peter Hemschemeier(Southeastern La.) 5-2,period_1 player_785989253 team_655,False,785989253,1,17:09:00,Peter Hemschemeier,Southeastern La.,5-2,missed,73.0,-38.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
10,2823140935,7.0,94.0,655,True,1st 16:50:00 : made by Jaiden Lawrence(Southeastern La.) 8-3,period_1 player_785989251 team_655,False,785989251,1,16:50:00,Jaiden Lawrence,Southeastern La.,8-3,made,93.0,-44.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
11,2823140937,75.0,70.0,433,False,1st 16:36:00 : missed by AJ Storr(Ole Miss) 8-3,period_1 player_785989227 team_433,False,785989227,1,16:36:00,AJ Storr,Ole Miss,8-3,missed,75.0,70.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
12,2823140951,6.0,54.0,655,True,1st 15:53:00 : made by Jaiden Lawrence(Southeastern La.) 10-5,period_1 player_785989251 team_655,False,785989251,1,15:53:00,Jaiden Lawrence,Southeastern La.,10-5,made,94.0,-4.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
13,2823140956,87.0,34.0,433,False,1st 17:25:00 : missed by Malik Dia(Ole Miss) 5-0,period_1 player_785989226 team_433,False,785989226,1,17:25:00,Malik Dia,Ole Miss,5-0,missed,87.0,34.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
14,2823140964,7.0,21.0,655,False,1st 15:21:00 : missed by Peter Hemschemeier(Southeastern La.) 10-7,period_1 player_785989253 team_655,False,785989253,1,15:21:00,Peter Hemschemeier,Southeastern La.,10-7,missed,93.0,29.0,Southeastern La.,Ole Miss,2026,SoutheasternLaOleMiss11032025,Away,Q2
